filename,text
qrcode_00000.png,Y/EXqc7/OHdr
qrcode_00001.png,HUAy.J
qrcode_00002.png,"79e0g_heb,2.XCI"
qrcode_00003.png,@MDSnVWkrtjp-R--5hsWIARks
qrcode_00004.png,"4 ,eWayqR-7S9IHiv"
qrcode_00005.png,l_HBP0D.OEDZ0xh@N PeS3VwQna1rdSo
qrcode_00006.png,HI_Q5MHaA5j
qrcode_00007.png,"ftWnTom:hDxy3UG,jJHV"
qrcode_00008.png,SIOW8-x7_tLurT00
qrcode_00009.png,PN9ZqDvr@WWC cRB.KAGZKM8
qrcode_00010.png,g/OcsfrfAMXBhrJtrKyT
qrcode_00011.png,"77bNjFw,Jm.hEbe9ol1TYST3Pi"
qrcode_00012.png,odmOO.RdqLe5loixYQ9o@79 ZO.@mVvY
qrcode_00013.png,il3F:x4XYm
qrcode_00014.png,8hTV47.VMwqsffkB
qrcode_00015.png,6_ IECRbI7wBwB-XehT
qrcode_00016.png,"m2O,auT,M"
qrcode_00017.png,p3Pn8xaZahRj
qrcode_00018.png,/_rT
qrcode_00019.png,lPrCX5E
qrcode_00020.png,uk5W1PvvI762
qrcode_00021.png,e2RkW0
qrcode_00022.png,"ale3GOt6YQkdy@A@iVV,G@H7"
qrcode_00023.png,Yr4S
qrcode_00024.png,"kci,@P6L9sqhN4yG"
qrcode_00025.png,VDEI1XIC3knhkg
qrcode_00026.png,Zg2lN0XkCjsdB3/H8LS
qrcode_00027.png,cGJgrejlDsDWIs
qrcode_00028.png,jnonR6knIuLp/1MTr0mGVZPSB
qrcode_00029.png,hu7/-pO@S
qrcode_00030.png,dm1GFcp8Fa6JgMPBNSo_hT
qrcode_00031.png,qonwFffgxVgL.
qrcode_00032.png,WDgi5E
qrcode_00033.png,O198m9ZqZ1 XqE@
qrcode_00034.png,Nd8b
qrcode_00035.png,dk_A9oV-33 I2Sbo
qrcode_00036.png,6g-vc4L2jS
qrcode_00037.png,N4YtGTpnzYIAOB/PJBhfl6Fl77l1O9kw
qrcode_00038.png,b1 Sy
qrcode_00039.png,1F w_Bb5bPHMlZb@
qrcode_00040.png,"R,wzX-_kh,tWCvy3R  O"
qrcode_00041.png,"CC3sXpVEWqRojMBj0re,EM5RB"
qrcode_00042.png,3UW-vI9LX:CMCfNH
qrcode_00043.png,Okp3fjzUekqDLd dAj
qrcode_00044.png,R5Mfb_n76Fz7V
qrcode_00045.png,/wZuixd9dQ91J5nusx
qrcode_00046.png,"s2Nth,hbh"
qrcode_00047.png,0pkeo@0prta@_H5 :TYmPLmYbOl8
qrcode_00048.png,@AWjBPIsJ_lxBf
qrcode_00049.png,"0nGu,_zoqIcq76y1IRf/E7/"
qrcode_00050.png,"W7ue6mEv3sPK40,Yd"
qrcode_00051.png,gkZ.u.xbnC5Ai@W jC:BUELWy2k 
qrcode_00052.png,jDrjmJnJlvGTYNns1XDaZ@g1vhr/
qrcode_00053.png,"uMvP8xLqMkA4EL,QqKeI_tND-MJ."
qrcode_00054.png,",@kG:,3Ro-NtNFI79V"
qrcode_00055.png,:W- p:7zspbAH1BkPPAdWXD49:B4482
qrcode_00056.png,VWWQ 9G6.b.8P
qrcode_00057.png,z_1flh38ST
qrcode_00058.png,qZDWHYCIe3AS_xVA/.rIaN:BFn2_V 
qrcode_00059.png,R6rBgDNyHUXkIUzp
qrcode_00060.png,vX8QAh F0B
qrcode_00061.png,fehA8_KJoYvQve
qrcode_00062.png,k6Djw4lH9lGefpxENwbm
qrcode_00063.png,F8n@:LPt0zi
qrcode_00064.png,dJ8H@lMbEXEFZM.@xuC
qrcode_00065.png,/9Ed8B1-5
qrcode_00066.png,TFxFWMFb
qrcode_00067.png,/GNmHHZB/OhR
qrcode_00068.png,iCU26-rblE_y/EH
qrcode_00069.png,"C5wpA,dJruKp:d/J96:/eJ9V:7"
qrcode_00070.png,MlDqFrIGI2uF7g89CS
qrcode_00071.png,CWU8-p5J5Y7QmdFwW
qrcode_00072.png,4ydGAG/ xQ5fBWQR3p
qrcode_00073.png,a@V/BLUVKKQ3-Zf7Gf.KPano 4b85l7I
qrcode_00074.png,eI74pef/Jup4CxOOdl7F39MgcKWZ
qrcode_00075.png,wnUTRHJN2dYue 2
qrcode_00076.png,hktxCuWEJx2Ip4kaB12UAgvK:eE
qrcode_00077.png,EQyWEwc
qrcode_00078.png,0O/tavdw
qrcode_00079.png,:tP32956GAWyQfOzKPh
qrcode_00080.png,"zWyTGqVpe_U5lMv@,Y/2vbGo6nUup-E0"
qrcode_00081.png,"VOyK0VrKuEFKYrE-X,0,lAsKdLH"
qrcode_00082.png,6Q:6AN11 e
qrcode_00083.png,E1S@/U5Z/OyF-BHaxEyZvup
qrcode_00084.png,"r,g1Q2gI37XRns"
qrcode_00085.png,"ph7W_Z8Yz7lhK/z97qlNNYMX,:ae_,"
qrcode_00086.png,L1vxLWBpjd/NLgA
qrcode_00087.png,g0aU.QF0OPXZ_Le.9I1
qrcode_00088.png,LXzFo
qrcode_00089.png,ucj0/
qrcode_00090.png,.p/b1pr_3oWRSkN@k-geItiv:-8
qrcode_00091.png,kJuzIl:a/iEx 85/
qrcode_00092.png,",F9KWs9@2moAbhpGw"
qrcode_00093.png,Fs1GW3r1QbTcDG716m-4pOMftzWqE
qrcode_00094.png,:Ufl4fK9xRuZY 5jpaYu
qrcode_00095.png,0CMWD.sJig
qrcode_00096.png,"nFwm7V4vsEUcn,Hjrhlhl"
qrcode_00097.png,gBOgSlCTXhwdEbxXDqApYIICSf0sR
qrcode_00098.png,VU.9
qrcode_00099.png,cPmiu_fmiWrhvl__Mz.37/eje@S@X/I
qrcode_00100.png,"cM,D:/WTF:8P,BIbwAl@2-"
qrcode_00101.png,9Pd@FOajTaP4TuMrXlH
qrcode_00102.png,hCyh5QLN yg-OuTbwFvofeVZ:C
qrcode_00103.png,-TnfTl_-674l
qrcode_00104.png,fhETYHXtCp4R.MFBI JO
qrcode_00105.png,"AlSHutNq04skMcp66w@,"
qrcode_00106.png,JkU-Sr O
qrcode_00107.png,"YE7RSM,ctT@JRbTEIl.mfq2I4@P"
qrcode_00108.png,1pRU-W2VUCc8OC5M2oPWqaZ-ekzU6
qrcode_00109.png,WZ5T
qrcode_00110.png,T6@gOgjWKqVwX/29 7-DHPpD93pcN
qrcode_00111.png,Ej5he
qrcode_00112.png,NnN8c59odvN0g_RJccN
qrcode_00113.png,"@jE,"
qrcode_00114.png,6K kL80X8Y7rIypuAVeH
qrcode_00115.png,lakgjC
qrcode_00116.png,j.6GvrvFAF5ioMWj51Lcr
qrcode_00117.png,"2Iw:X7pOEMw2,kOh71I6Qe"
qrcode_00118.png,d461QHj433kcDq
qrcode_00119.png,"uIY,aavGjlLjPcMCzS"
qrcode_00120.png,Qhd7Yfk2vg8@@
qrcode_00121.png,"Ksc,cuwiaBiFGy"
qrcode_00122.png,mBPE
qrcode_00123.png,XPI3uF/5THu
qrcode_00124.png,"N56S,LH7 :XuE0ehAdPYb"
qrcode_00125.png,"0tDLh3c5TO,t.FhxqGb3"
qrcode_00126.png,"6DT1X_q,chxD6q2yGK:y:VxoI,W/@2"
qrcode_00127.png,/ bsnLQ6G6ctC3PE-UHSpYsCO
qrcode_00128.png,tJR2d
qrcode_00129.png,"DndKA7ak Cb:ugAsyvopgghd0i@KT,x,"
qrcode_00130.png,ekSBNFe
qrcode_00131.png,M2jM8mu
qrcode_00132.png,.H:OQYDvao-vYjLq
qrcode_00133.png,"dP,6QTzKyYjYhcA8S4oFSIUEHg.0o8"
qrcode_00134.png,QnpR4lpxfLHP
qrcode_00135.png,23GTdktbuwtRC-_q4N5t/oy
qrcode_00136.png,"s@fMup3 N,oQZ.qjq:zqT07"
qrcode_00137.png,EugNR5CY6nscQvRElH
qrcode_00138.png,3i535n
qrcode_00139.png,xnVoHO6XlN/rL VnGxy
qrcode_00140.png,FKHM4RPqKR/A5QsroGvCB.kHdG04
qrcode_00141.png, Xx_JNklXZ-ejN1ivo0F
qrcode_00142.png,q@8J7uziOL-vrKet
qrcode_00143.png,KREC
qrcode_00144.png,"6ew,WSgMkjR "
qrcode_00145.png,eIJV1p
qrcode_00146.png,"djHR9m.RImPV/x@,mGGXm.LTE2yG"
qrcode_00147.png,"Qp/C6_aAqiBRLF1u7.a,vWum/Z"
qrcode_00148.png,P/s8Hr0:bSnMB/aYbP
qrcode_00149.png,VSn7@/Bl9GQeNXlIxmGvV0eL
qrcode_00150.png,:S splil65oON4mJc
qrcode_00151.png,3AMr:7YP_CXWAAKNetn
qrcode_00152.png,"bX27s/nSm5TK6O4o,hdOLGCS"
qrcode_00153.png,"QOGahkreUmT22UPApYkIc,-Cj"
qrcode_00154.png,"dx,Fi:kXnMx2X1IBCP0"
qrcode_00155.png,qg/XynUfgdK7:-@3DBuS/8 d2 vpPKwW
qrcode_00156.png,M0jW
qrcode_00157.png,"nmUEV:,10UAD6y"
qrcode_00158.png,jIah:lf9Fc ty97Nhhbw8:XgCnL_K
qrcode_00159.png,q1iQxabzVuF@W aWb-.XQaVfHH19z@
qrcode_00160.png,"1ui,xaXz.8F_klHCriBncM l"
qrcode_00161.png,n/n6
qrcode_00162.png,qo..hduCnzGVigZvCxfmEb@Uw37x4@wf
